,Year,Value,Total,month
1610,2014-03-01,0.77,5.77,March
1611,2014-04-01,0.8,8.9,April
1612,2014-05-01,0.8,11.9,May
1613,2014-06-01,0.77,14.07,June
1614,2014-07-01,0.71,15.010000000000002,July
1615,2014-08-01,0.82,14.620000000000001,August
1616,2014-09-01,0.79,12.79,September
1617,2014-10-01,0.76,10.06,October
1618,2014-11-01,0.65,6.550000000000001,November
1619,2014-12-01,0.82,4.5200000000000005,December
1620,2015-01-01,0.83,3.63,January
1621,2015-02-01,0.87,4.07,February
1622,2015-03-01,0.92,5.92,March
1623,2015-04-01,0.81,8.91,April
1624,2015-05-01,0.9,12.0,May
1625,2015-06-01,0.91,14.21,June
1626,2015-07-01,0.85,15.15,July
1627,2015-08-01,0.91,14.71,August
1628,2015-09-01,0.95,12.95,September
1629,2015-10-01,1.03,10.33,October
1630,2015-11-01,1.0,6.9,November
1631,2015-12-01,1.15,4.85,December
1632,2016-01-01,1.12,3.92,January
1633,2016-02-01,1.26,4.46,February
1634,2016-03-01,1.31,6.3100000000000005,March
1635,2016-04-01,1.12,9.219999999999999,April
1636,2016-05-01,0.94,12.04,May
1637,2016-06-01,0.93,14.23,June
1638,2016-07-01,0.92,15.22,July
1639,2016-08-01,0.98,14.780000000000001,August
1640,2016-09-01,0.94,12.94,September
1641,2016-10-01,0.79,10.09,October
1642,2016-11-01,0.78,6.680000000000001,November
1643,2016-12-01,0.83,4.53,December
1644,2017-01-01,0.98,3.78,January
1645,2017-02-01,1.02,4.220000000000001,February
1646,2017-03-01,1.09,6.09,March
1647,2017-04-01,0.92,9.02,April
1648,2017-05-01,0.88,11.98,May
1649,2017-06-01,0.84,14.14,June
1650,2017-07-01,0.9,15.200000000000001,July
1651,2017-08-01,0.92,14.72,August
1652,2017-09-01,0.86,12.86,September
1653,2017-10-01,0.81,10.110000000000001,October
1654,2017-11-01,0.8,6.7,November
1655,2017-12-01,0.87,4.57,December
1656,2018-01-01,0.75,3.55,January
1657,2018-02-01,0.76,3.96,February
1658,2018-03-01,0.89,5.89,March
1659,2018-04-01,0.84,8.94,April
1660,2018-05-01,0.82,11.92,May
1661,2018-06-01,0.78,14.08,June
1662,2018-07-01,0.82,15.120000000000001,July
1663,2018-08-01,0.8,14.600000000000001,August
1664,2018-09-01,0.82,12.82,September
1665,2018-10-01,0.92,10.22,October
1666,2018-11-01,0.78,6.680000000000001,November
1667,2018-12-01,0.88,4.58,December
1668,2019-01-01,0.93,3.73,January
1669,2019-02-01,0.85,4.05,February
1670,2019-03-01,1.09,6.09,March
1671,2019-04-01,0.97,9.07,April
1672,2019-05-01,0.86,11.959999999999999,May
1673,2019-06-01,0.95,14.25,June
1674,2019-07-01,0.92,15.22,July
1675,2019-08-01,0.92,14.72,August
1676,2019-09-01,0.94,12.94,September
1677,2019-10-01,0.95,10.25,October
1678,2019-11-01,0.92,6.82,November
1679,2019-12-01,1.05,4.75,December
1680,2020-01-01,1.14,3.9399999999999995,January
1681,2020-02-01,1.17,4.37,February
1682,2020-03-01,1.18,6.18,March
1683,2020-04-01,1.05,9.15,April
1684,2020-05-01,0.95,12.049999999999999,May
1685,2020-06-01,0.92,14.22,June
1686,2020-07-01,0.92,15.22,July
1687,2020-08-01,0.94,14.74,August
1688,2020-09-01,0.94,12.94,September
1689,2020-10-01,0.83,10.13,October
1690,2020-11-01,0.96,6.86,November
1691,2020-12-01,0.78,4.48,December
